x,upop,tpop,percent 
1920,15381,61694,24.93111162
1921,15980,62473,25.57905015
1922,16602,61185,27.1341015
1923,17249,61577,28.01208243
1924,17922,61953,28.92838119
1925,18620,62411,29.83448431
1926,18779,62866,29.87147266
1927,18940,63252,29.94371719
1928,19101,63618,30.02452136
1929,19264,63957,30.12023703
1930,19429,64294,30.218994
1931,19595,64631,30.31826832
1932,19762,64911,30.44476283
1933,19930,65218,30.55904812
1934,20101,65595,30.64410397
1935,20272,66871,30.31508427
1936,20445,67349,30.35679817
1937,20620,67831,30.39908007
1938,20796,68424,30.39284462
1939,23627,79798,29.60851149
1940,25219,90211,27.95557083
