x,tpop,upop,percent
1920,139675,4031,2.885985323
1921,136876,4556,3.328560157
1922,136508,5150,3.772672664
1923,136102,5821,4.276939354
1924,137674,6579,4.77868007
1925,140619,7436,5.288047846
1926,143760,8405,5.846549805
1927,147135,9500,6.456655452
1928,150004,10737,7.157809125
1929,152774,12136,7.943760064
1930,154919,13716,8.853659009
1931,156701,15503,9.893363795
1932,158094,17523,11.0839121
1933,158168,19806,12.52212837
1934,159156,22385,14.06481691
1935,160049,25301,15.80828371
1936,161272,28597,17.73215437
1937,163388,32322,19.78235856
1938,166859,36532,21.8939344
1939,170315,35124,20.62296333
1940,194077,33978,17.50748414
