x,China,Japan,UK,Russia,U.S.A.
1860,0.1742875,0.0251346,0.2764456,0.0889069,0.0773722
1861,0.1726716,0.0243355,0.2583892,0.0787936,0.1444292
1862,0.170761,0.0248295,0.2505943,0.0658817,0.1763908
1863,0.1643489,0.0242581,0.2509915,0.073884,0.178967
1864,0.1593894,0.02422,0.2433951,0.0784004,0.1929127
1865,0.1610596,0.0241835,0.2564121,0.0766023,0.1354652
1866,0.171008,0.0243795,0.2482816,0.078528,0.0981717
1867,0.1685239,0.0238467,0.2531385,0.0761105,0.1141338
1868,0.1687405,0.0208137,0.2531005,0.0821918,0.1066403
1869,0.1700572,0.0204845,0.2463554,0.0885286,0.1080056
1870,0.1706882,0.0199309,0.2416341,0.0812532,0.0989996
1871,0.1537179,0.0202373,0.2415633,0.0803042,0.098381
1872,0.1683204,0.0219966,0.2377545,0.0982709,0.1152826
1873,0.1667051,0.0223603,0.2324554,0.0969752,0.1162688
1874,0.1682995,0.0227361,0.2316298,0.0986052,0.1142451
1875,0.166604,0.0222555,0.2355151,0.09965,0.1069647
1876,0.163194,0.0210733,0.2349572,0.1015464,0.1019168
1877,0.1616687,0.0205941,0.2332203,0.1318926,0.1046526
1878,0.1563437,0.0204708,0.2282531,0.1307014,0.1083453
1879,0.1635744,0.021155,0.2236606,0.1036211,0.1203331
1880,0.1628285,0.0210292,0.2184708,0.1044881,0.1254597
1881,0.1598976,0.0206038,0.2164771,0.1014094,0.1264246
1882,0.1605135,0.0204517,0.2116762,0.0984366,0.1310108
1883,0.1629529,0.0208795,0.2113786,0.092882,0.1313463
1884,0.1621223,0.0206489,0.2080532,0.091821,0.1313873
1885,0.1609649,0.0203826,0.2157365,0.0940839,0.1312613
1886,0.1603556,0.0215009,0.200533,0.094627,0.1461353
1887,0.1580128,0.0214944,0.1946572,0.0924203,0.1510995
1888,0.1563821,0.0208842,0.1886506,0.0902704,0.1523269
1889,0.1558969,0.0213665,0.1892983,0.0936677,0.1548427
1890,0.1556274,0.0213999,0.1794749,0.0950777,0.1653962
