stateabb,ccode,year,irst,milex,milper,pec,tpop,upop,cinc,version
CHN,710,1860,10,-9,1000,0,379382,-9,0.1742875,4
CHN,710,1861,10,-9,1000,0,374670,-9,0.1726716,4
CHN,710,1862,10,-9,1000,0,370015,-9,0.170761,4
CHN,710,1863,10,-9,1000,0,365419,-9,0.1643489,4
CHN,710,1864,10,-9,1000,0,360880,-9,0.1593894,4
CHN,710,1865,10,-9,1000,0,356397,-9,0.1610596,4
CHN,710,1866,10,-9,1000,0,351970,-9,0.171008,4
CHN,710,1867,10,-9,1000,0,347597,-9,0.1685239,4
CHN,710,1868,10,-9,1000,0,342765,-9,0.1687405,4
CHN,710,1869,10,-9,1000,0,344724,-9,0.1700572,4
CHN,710,1870,10,-9,1000,0,346694,-9,0.1706882,4
CHN,710,1871,10,-9,1000,0,348677,-9,0.1537179,4
CHN,710,1872,10,-9,1000,0,350670,-9,0.1683204,4
CHN,710,1873,10,-9,1000,0,352674,-9,0.1667051,4
CHN,710,1874,10,-9,1000,0,354690,-9,0.1682995,4
CHN,710,1875,10,-9,1000,0,356718,-9,0.166604,4
CHN,710,1876,10,-9,1000,0,358757,-9,0.163194,4
CHN,710,1877,10,-9,1000,0,360808,-9,0.1616687,4
CHN,710,1878,10,-9,1000,0,362870,-9,0.1563437,4
CHN,710,1879,10,-9,1000,0,364944,-9,0.1635744,4
CHN,710,1880,20,-9,1000,0,367030,-9,0.1628285,4
CHN,710,1881,20,-9,1000,2,369128,-9,0.1598976,4
CHN,710,1882,20,-9,1000,38,371239,-9,0.1605135,4
CHN,710,1883,20,-9,1000,75,373361,-9,0.1629529,4
CHN,710,1884,20,-9,1000,126,375495,-9,0.1621223,4
CHN,710,1885,20,-9,1000,187,377636,-9,0.1609649,4
CHN,710,1886,20,-9,1000,187,382238,-9,0.1603556,4
CHN,710,1887,20,-9,1000,225,386892,-9,0.1580128,4
CHN,710,1888,20,-9,1000,241,391601,-9,0.1563821,4
CHN,710,1889,20,-9,1000,248,396369,-9,0.1558969,4
CHN,710,1890,20,-9,1000,249,401194,-9,0.1556274,4
CHN,710,1891,20,-9,1000,250,406077,-9,0.154692,4
CHN,710,1892,20,-9,1000,251,411021,-9,0.1546462,4
CHN,710,1893,20,-9,1000,253,416025,-9,0.1539244,4
CHN,710,1894,20,-9,1000,255,421000,-9,0.1540882,4
CHN,710,1895,20,-9,1000,257,421763,-9,0.1521999,4
CHN,710,1896,20,2994,1000,489,422523,-9,0.1242898,4
CHN,710,1897,20,2660,1000,539,423285,-9,0.1213515,4
CHN,710,1898,20,11968,1000,735,424047,-9,0.1234668,4
CHN,710,1899,20,11967,1000,798,424811,-9,0.1247638,4
CHN,710,1900,0,12241,1000,233,425577,-9,0.1199774,4
CHN,710,1901,0,5155,1000,450,426447,-9,0.1156929,4
CHN,710,1902,0,8769,1000,898,439947,-9,0.1185682,4
CHN,710,1903,0,8765,1000,1036,441220,-9,0.1185145,4
CHN,710,1904,0,8761,1000,1103,442502,-9,0.1176866,4
CHN,710,1905,0,10105,1000,1213,443787,-9,0.1101609,4
CHN,710,1906,0,11022,1000,9033,445076,-9,0.1187528,4
CHN,710,1907,9,-9,1000,9039,446368,-9,0.1418014,4
CHN,710,1908,23,-9,1000,9045,447665,-9,0.1393857,4
CHN,710,1909,37,-9,1000,9051,448965,-9,0.1372341,4
CHN,710,1910,50,-9,1000,9057,450269,-9,0.1364487,4
CHN,710,1911,39,11880,1003,9063,451576,-9,0.1134761,4
CHN,710,1912,3,-9,450,9076,452888,-9,0.1140283,4
CHN,710,1913,43,18408,450,12888,454203,-9,0.0964403,4
CHN,710,1914,56,67785,460,14191,455522,-9,0.0921925,4
CHN,710,1915,48,-9,500,13516,456845,-9,0.1002706,4
CHN,710,1916,45,89499,850,16001,458172,-9,0.0835062,4
CHN,710,1917,43,-9,900,17005,459503,-9,0.1028015,4
CHN,710,1918,57,193472,1300,18461,460837,-9,0.0861775,4
CHN,710,1919,35,214511,1380,20189,462176,-9,0.1039528,4
CHN,710,1920,68,-9,1442,21364,463518,-9,0.1275258,4
CHN,710,1921,77,-9,1504,20564,464864,-9,0.1288543,4
CHN,710,1922,30,-9,1566,21204,466214,-9,0.1363642,4
CHN,710,1923,30,-9,1628,24629,467568,-9,0.1471833,4
CHN,710,1924,30,-9,1700,25871,468926,-9,0.1628955,4
CHN,710,1925,30,177669,1700,24357,470288,-9,0.138325,4
CHN,710,1926,30,-9,1700,23167,471654,-9,0.1622968,4
CHN,710,1927,30,64307,1700,24306,470852,-9,0.1321129,4
CHN,710,1928,30,105698,1700,25246,474787,15212,0.1267741,4
CHN,710,1929,20,111605,1700,25620,478830,15444,0.1266302,4
