stateabb,ccode,year,irst,milex,milper,pec,tpop,upop,cinc,version
JPN,740,1860,0,-9,12,0,32538,1757,0.0251346,4
JPN,740,1861,0,-9,12,0,32721,1788,0.0243355,4
JPN,740,1862,0,-9,12,0,32905,1819,0.0248295,4
JPN,740,1863,0,-9,0,0,33091,1850,0.0242581,4
JPN,740,1864,0,-9,0,0,33277,1884,0.02422,4
JPN,740,1865,0,-9,0,0,33464,1922,0.0241835,4
JPN,740,1866,0,-9,0,0,33653,1954,0.0243795,4
JPN,740,1867,0,-9,0,0,33842,1986,0.0238467,4
JPN,740,1868,0,907,0,4,34033,2019,0.0208137,4
JPN,740,1869,0,568,6,7,34225,2042,0.0204845,4
JPN,740,1870,0,320,6,6,34417,2065,0.0199309,4
JPN,740,1871,0,661,17,10,34611,2089,0.0202373,4
JPN,740,1872,0,1853,20,13,34806,2113,0.0219966,4
JPN,740,1873,0,1889,40,16,34985,2135,0.0223603,4
JPN,740,1874,3,2283,41,223,35154,2156,0.0227361,4
JPN,740,1875,2,1957,41,593,35316,2177,0.0222555,4
JPN,740,1876,4,1611,37,577,35555,2200,0.0210733,4
JPN,740,1877,4,1431,38,531,35870,2221,0.0205941,4
JPN,740,1878,4,1423,43,768,36166,2242,0.0204708,4
JPN,740,1879,6,1670,44,964,36464,2261,0.021155,4
JPN,740,1880,6,1786,45,978,36649,2283,0.0210292,4
JPN,740,1881,6,1728,46,999,36965,2304,0.0206038,4
JPN,740,1882,6,1809,47,1051,37259,2323,0.0204517,4
JPN,740,1883,5,2046,48,1136,37569,2341,0.0208795,4
JPN,740,1884,4,2120,48,1233,37962,2363,0.0206489,4
JPN,740,1885,2,1873,52,1394,38313,2381,0.0203826,4
JPN,740,1886,5,3109,56,1505,38541,2401,0.0215009,4
JPN,740,1887,13,3271,62,1861,38703,2422,0.0214944,4
JPN,740,1888,14,3238,62,2169,39029,2439,0.0208842,4
JPN,740,1889,16,3529,69,2576,39473,2453,0.0213665,4
JPN,740,1890,19,3905,71,2830,39902,2469,0.0213999,4
JPN,740,1891,13,3576,89,3387,40251,2481,0.0217306,4
JPN,740,1892,17,2496,79,3355,40508,2498,0.0204315,4
JPN,740,1893,17,2351,71,3577,40860,2515,0.0197623,4
JPN,740,1894,24,13167,83,4599,41142,2538,0.0282584,4
JPN,740,1895,24,11743,207,5074,41557,2637,0.031203,4
JPN,740,1896,25,7398,103,5362,41992,2741,0.0246734,4
JPN,740,1897,25,11054,132,5582,42400,3095,0.0277226,4
JPN,740,1898,21,11243,156,7105,42886,3498,0.0283578,4
JPN,740,1899,20,11421,147,7118,43404,3671,0.0282552,4
JPN,740,1900,1,13311,182,8010,43847,3856,0.0288864,4
JPN,740,1901,6,10236,206,9593,44359,4051,0.0288823,4
JPN,740,1902,31,8577,209,10351,44964,4255,0.0286649,4
