stateabb,ccode,year,irst,milex,milper,pec,tpop,upop,cinc,version
RUS,365,1816,124,10582,800,15,45900,204,0.1643041,4
RUS,365,1817,132,8425,700,15,46600,232,0.1573987,4
RUS,365,1818,127,8833,600,14,47200,263,0.1542128,4
RUS,365,1819,132,8942,596,14,47900,298,0.1510114,4
RUS,365,1820,135,9317,772,14,48600,338,0.1609647,4
RUS,365,1821,159,9654,949,14,49300,384,0.1738877,4
RUS,365,1822,153,8796,1001,14,50100,436,0.1739551,4
RUS,365,1823,149,9261,684,14,50800,495,0.1567302,4
RUS,365,1824,140,7510,1032,27,51500,561,0.1704196,4
RUS,365,1825,158,7476,860,27,52300,637,0.1659334,4
RUS,365,1826,157,7376,578,27,53000,722,0.1500554,4
RUS,365,1827,184,7880,675,26,53800,820,0.1593984,4
RUS,365,1828,178,7587,624,26,54600,833,0.1525648,4
RUS,365,1829,188,8079,803,26,55300,847,0.1653604,4
RUS,365,1830,187,7780,826,26,56100,861,0.1572525,4
RUS,365,1831,194,8058,851,25,56900,875,0.1500458,4
RUS,365,1832,174,8662,875,25,57700,890,0.1570197,4
RUS,365,1833,159,8671,900,25,58500,905,0.1573244,4
RUS,365,1834,167,8648,784,25,59300,920,0.1539878,4
RUS,365,1835,175,10173,668,37,60200,935,0.1514665,4
RUS,365,1836,181,9833,1020,37,60600,951,0.1657433,4
RUS,365,1837,191,9893,574,37,61000,967,0.1412756,4
RUS,365,1838,181,9987,570,37,61500,973,0.1372543,4
RUS,365,1839,182,10964,567,49,61900,979,0.1345764,4
RUS,365,1840,189,13162,623,61,62400,985,0.1378267,4
RUS,365,1841,179,12924,680,61,62900,991,0.1375421,4
RUS,365,1842,188,13613,736,67,63500,997,0.1429657,4
RUS,365,1843,190,13024,793,59,64000,1003,0.1435805,4
RUS,365,1844,185,13134,754,71,64600,1009,0.1403777,4
RUS,365,1845,187,13718,706,83,65200,1016,0.1397202,4
RUS,365,1846,215,13957,677,99,65800,1022,0.128714,4
RUS,365,1847,195,14086,803,94,66500,1028,0.1371981,4
RUS,365,1848,198,18003,526,107,67100,1035,0.1225773,4
RUS,365,1849,190,17790,699,107,67800,1041,0.1306852,4
RUS,365,1850,228,18647,871,108,68500,1047,0.1443869,4
RUS,365,1851,207,16522,560,109,69000,1054,0.1250832,4
RUS,365,1852,215,15692,756,119,69500,1061,0.1302901,4
RUS,365,1853,238,19928,761,142,70100,1069,0.1354154,4
RUS,365,1854,231,31358,1100,141,70600,1079,0.1369681,4
RUS,365,1855,251,39809,1550,156,71100,1088,0.1532064,4
RUS,365,1856,259,37900,2000,180,71600,1097,0.164031,4
RUS,365,1857,213,17065,1019,213,72100,1106,0.1251109,4
RUS,365,1858,277,15567,870,229,72800,1116,0.1208302,4
RUS,365,1859,271,18984,850,250,73900,1131,0.1162068,4
RUS,365,1860,336,18716,862,300,74100,1146,0.0889069,4
RUS,365,1861,320,19949,864,400,73600,1161,0.0787936,4
RUS,365,1862,251,18259,682,300,73800,1177,0.0658817,4
RUS,365,1863,279,26385,812,400,74300,1193,0.073884,4
RUS,365,1864,300,25359,1135,400,74700,1209,0.0784004,4
RUS,365,1865,300,20196,727,400,75100,1225,0.0766023,4
RUS,365,1866,305,19252,697,1050,76500,1242,0.078528,4
RUS,365,1867,289,18558,628,1203,79900,1344,0.0761105,4
RUS,365,1868,325,20589,673,977,81900,1454,0.0821918,4
RUS,365,1869,330,22055,706,1403,83400,1574,0.0885286,4
RUS,365,1870,359,19893,738,1545,84500,1703,0.0812532,4
RUS,365,1871,359,22409,765,2038,85400,1843,0.0803042,4
RUS,365,1872,400,25124,826,2162,86600,1995,0.0982709,4
RUS,365,1873,380,26407,826,2033,87900,2159,0.0969752,4
RUS,365,1874,379,26287,830,2337,89900,2273,0.0986052,4
RUS,365,1875,428,26943,835,2741,90200,2394,0.09965,4
RUS,365,1876,443,34424,859,3298,91400,2521,0.1015464,4
RUS,365,1877,400,77022,840,3281,92200,2655,0.1318926,4
RUS,365,1878,418,59952,1213,4321,93000,2796,0.1307014,4
RUS,365,1879,433,32091,843,4386,95300,2944,0.1036211,4
RUS,365,1880,449,30408,909,5222,97700,3101,0.1044881,4
RUS,365,1881,471,30187,908,5291,100000,3265,0.1014094,4
RUS,365,1882,479,27617,908,5530,102400,3439,0.0984366,4
RUS,365,1883,482,22196,803,6183,104700,3539,0.092882,4
RUS,365,1884,510,22500,803,5691,106700,3643,0.091821,4
RUS,365,1885,528,25140,803,5870,108800,3750,0.0940839,4
RUS,365,1886,531,24932,820,6115,110900,3860,0.094627,4
RUS,365,1887,613,23279,837,5631,113100,3973,0.0924203,4
RUS,365,1888,667,21482,900,6123,115300,4090,0.0902704,4
RUS,365,1889,741,27233,843,7232,116600,4210,0.0936677,4
RUS,365,1890,928,30191,844,6622,117800,4333,0.0950777,4
RUS,365,1891,1005,34531,871,6678,119000,4461,0.1007147,4
RUS,365,1892,1073,30053,896,7227,120200,4592,0.0982507,4
