x,China,Japan,US,UK,Russia
1928,474787,62595,120509,45578,150004
1929,478830,63461,121767,45672,152774
1930,482917,64450,123188,45866,154919
1931,487039,65457,124149,46074,156701
1932,491197,66434,124949,46335,158094
1933,495390,67432,125690,46520,158168
1934,499618,68309,126485,46666,159156
1935,503883,69254,127362,46869,160049
1936,508185,70114,128181,47081,161272
1937,512523,70630,128961,47289,163388
1938,516898,71013,129969,48404,166859
1939,521310,71380,131028,47762,170315
1940,525760,71933,132122,48226,194077
